dataset,model,prompt,label,kappa,f1
dagstuhl,Mixtral-8x7B-Instruct-v0.1,2,conv,0.2686816820321313,0.4094117647058824
defabel,Mixtral-8x7B-Instruct-v0.1,2,conv,0.09440064685668093,0.31783161607723015
deuparl,Mixtral-8x7B-Instruct-v0.1,2,conv,0.16153846153846152,0.3569681022942344
hansard,Mixtral-8x7B-Instruct-v0.1,2,conv,0.12891337527454116,0.3262021031961347
hansard_bill,Mixtral-8x7B-Instruct-v0.1,2,conv,0.0864160551145724,0.3143149445187692
dagstuhl,gpt-4o-mini,2,conv,0.31613304320795776,0.43389677710164526
defabel,gpt-4o-mini,2,conv,0.17847134246996044,0.34666755858808845
deuparl,gpt-4o-mini,2,conv,0.052096177558569545,0.30231481481481487
hansard,gpt-4o-mini,2,conv,0.18198901949224355,0.3577870405456612
hansard_bill,gpt-4o-mini,2,conv,0.16172106824925825,0.35180978343177344
dagstuhl,Mixtral-8x7B-Instruct-v0.1,1,conv,0.18884468307002966,0.4001923046610237
defabel,Mixtral-8x7B-Instruct-v0.1,1,conv,0.12621748366668006,0.34526928969646736
deuparl,Mixtral-8x7B-Instruct-v0.1,1,conv,0.09222671447097419,0.34600267818792796
hansard,Mixtral-8x7B-Instruct-v0.1,1,conv,0.13634014911050418,0.35789398068109435
hansard_bill,Mixtral-8x7B-Instruct-v0.1,1,conv,0.03802454173610048,0.34476998006409776
dagstuhl,gpt-4o-mini,1,conv,0.22806746690339275,0.3904419731964642
defabel,gpt-4o-mini,1,conv,0.16545440624760743,0.33700685724463436
deuparl,gpt-4o-mini,1,conv,0.05806053119209398,0.30712656519108134
hansard,gpt-4o-mini,1,conv,0.15537438948257498,0.3438654701757032
hansard_bill,gpt-4o-mini,1,conv,0.17508917954815695,0.35937183383991894
dagstuhl,gpt-4o-2024-08-06,3,conv,0.40138381404027057,0.5476814207464363
defabel,gpt-4o-2024-08-06,3,conv,0.1770862461550753,0.40752207099910565
deuparl,gpt-4o-2024-08-06,3,conv,0.2174313334356297,0.43924378924378926
hansard,gpt-4o-2024-08-06,3,conv,0.2230567168596691,0.429366851346509
hansard_bill,gpt-4o-2024-08-06,3,conv,0.2994485020122224,0.4611347302110354
dagstuhl,gpt-4o-2024-08-06,2,conv,0.40648244498400576,0.5707576633892423
defabel,gpt-4o-2024-08-06,2,conv,0.18348302811151285,0.40572403836216914
deuparl,gpt-4o-2024-08-06,2,conv,0.19466175793833407,0.4182192131630334
hansard,gpt-4o-2024-08-06,2,conv,0.23765820442602337,0.44717247427342116
hansard_bill,gpt-4o-2024-08-06,2,conv,0.27050766711329466,0.4393471355022455
dagstuhl,gpt-4o-2024-08-06,1,conv,0.3799856338134664,0.5723927653528726
defabel,gpt-4o-2024-08-06,1,conv,0.22930179320869903,0.468478318042124
deuparl,gpt-4o-2024-08-06,1,conv,0.1319964082609998,0.4182336182336182
hansard,gpt-4o-2024-08-06,1,conv,0.09563644585123221,0.38900626374606834
hansard_bill,gpt-4o-2024-08-06,1,conv,0.23319801533603957,0.47024629853457794
